observation_date,CPIAUCNS
2021-01-01,261.582
2021-02-01,263.014
2021-03-01,264.877
2021-04-01,267.054
2021-05-01,269.195
2021-06-01,271.696
2021-07-01,273.003
2021-08-01,273.567
2021-09-01,274.310
2021-10-01,276.589
2021-11-01,277.948
2021-12-01,278.802
2022-01-01,281.148
2022-02-01,283.716
2022-03-01,287.504
2022-04-01,289.109
2022-05-01,292.296
2022-06-01,296.311
2022-07-01,296.276
2022-08-01,296.171
2022-09-01,296.808
2022-10-01,298.012
2022-11-01,297.711
2022-12-01,296.797
2023-01-01,299.170
2023-02-01,300.840
2023-03-01,301.836
2023-04-01,303.363
2023-05-01,304.127
2023-06-01,305.109
2023-07-01,305.691
2023-08-01,307.026
2023-09-01,307.789
2023-10-01,307.671
2023-11-01,307.051
2023-12-01,306.746
2024-01-01,308.417
2024-02-01,310.326
2024-03-01,312.332
2024-04-01,313.548
2024-05-01,314.069
2024-06-01,314.175
2024-07-01,314.540
2024-08-01,314.796
2024-09-01,315.301
2024-10-01,315.664
2024-11-01,315.493
2024-12-01,315.605
2025-01-01,317.671
2025-02-01,319.082
2025-03-01,319.799
2025-04-01,320.795
2025-05-01,321.465
2025-06-01,322.561
2025-07-01,323.048
2025-08-01,323.976
2025-09-01,324.800
2025-10-01,
2025-11-01,324.122
2025-12-01,324.054
